"World-country-continental","contry","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"Myanmar","142947","","3210",NA,"132013","","7724","","2612","59","2588880","47311","54720998","Asia","383","17047","21",NA,NA,"141"
"Albania","131723","","2412",NA,"117089","","12222","18","45815","839","656473","228330","2875110","Europe","22","1192","4",NA,NA,"4251"
"S. Korea","127772","463","1875","1","117844","421","8053","161","2490","37","9122059","177794","51306896","Asia","402","27364","6","9","0.02","157"
"Sri Lanka","125906","","801",NA,"104463","","20642","","5859","37","2951123","137326","21489910","Asia","171","26829","7",NA,NA,"961"
"Estonia","125126","","1201",NA,"115908","","8017","43","94271","905","1328823","1001149","1327298","Europe","11","1105","1",NA,NA,"6040"
"Algeria","124104","","3328",NA,"86420","","34356","28","2787","75","230861","5185","44523981","Africa","359","13379","193",NA,NA,"772"
"Latvia","123963","","2212",NA,"113214","","8537","81","66350","1184","2400457","1284823","1868317","Europe","15","845","1",NA,NA,"4569"
"Norway","116365","","767",NA,"88952","","26646","27","21322","141","5337838","978093","5457395","Europe","47","7115","1",NA,NA,"4883"
"Cuba","115981","","732",NA,"109363","","5886","127","10245","65","3837345","338967","11320705","North America","98","15465","3",NA,NA,"520"
"Kyrgyzstan","98400","","1655",NA,"91559","","5186","85","14874","250","1026019","155088","6615723","Asia","67","3997","6",NA,NA,"784"
"Montenegro","98303","","1540",NA,"94963","","1800","64","156500","2452","386071","614632","628134","Europe","6","408","2",NA,NA,"2866"
"Uzbekistan","94397","","662",NA,"90053","","3682","23","2786","20","1377915","40668","33881957","Asia","359","51181","25",NA,NA,"109"
"Ghana","92951","","783",NA,"90568","","1600","6","2939","25","1108763","35061","31623590","Africa","340","40388","29",NA,NA,"51"
"Zambia","92092","","1257",NA,"90428","","407","33","4893","67","1439352","76480","18819883","Africa","204","14972","13",NA,NA,"22"
"Finland","88723","","922",NA,"46000","","41801","28","15992","166","4641541","836604","5548075","Europe","63","6017","1",NA,NA,"7534"
"Thailand","85005","1630","421","22","55208","1603","29376","1138","1215","6","8124896","116154","69949602","Asia","823","166151","9","23","0.3","420"
"Cameroon","74946","","1152",NA,"70497","","3297","385","2765","42","1518411","56018","27106006","Africa","362","23530","18",NA,NA,"122"
"El Salvador","70380","","2154",NA,"65921","","2305","28","10804","331","936793","143809","6514142","North America","93","3024","7",NA,NA,"354"
"Mozambique","70212","","823",NA,"67785","","1604","31","2194","26","528305","16511","31996859","Africa","456","38878","61",NA,NA,"50"
"Cyprus","69432","","336",NA,"39061","","30035","62","57152","277","5362389","4414012","1214856","Asia","17","3616","0",NA,NA,"24723"
"Luxembourg","68153","","801",NA,"64943","","2409","33","107389","1262","2711542","4272581","634638","Europe","9","792","0",NA,NA,"3796"
"Afghanistan","62063","","2698",NA,"54222","","5143","1124","1564","68","420135","10590","39672184","Asia","639","14704","94",NA,NA,"130"
"Singapore","61359","","31",NA,"60933","","395","2","10418","5","9906797","1682088","5889582","Asia","96","189987","1",NA,NA,"67"
"Namibia","50070","","689",NA,"47300","","2081","43","19407","267","400695","155308","2580010","Africa","52","3745","6",NA,NA,"807"
"Botswana","48417","","734",NA,"46226","","1457","1","20242","307","1086267","454135","2391948","Africa","49","3259","2",NA,NA,"609"
"Jamaica","46708","","806",NA,"22268","","23634","17","15715","271","343508","115574","2972202","North America","64","3688","9",NA,NA,"7952"
"Ivory Coast","46442","","291",NA,"45847","","304","","1724","11","608960","22611","26932014","Africa","580","92550","44",NA,NA,"11"
"Mongolia","45459","639","170","8","32660","1287","12629","123","13679","51","2780161","836595","3323187","Asia","73","19548","1","192","2","3800"
"Uganda","42355","","346",NA,"41924","","85","24","902","7","1039271","22130","46962440","Africa","1109","135730","45",NA,NA,"2"
"Senegal","40692","","1119",NA,"39384","","189","14","2377","65","490682","28665","17117756","Africa","421","15297","35",NA,NA,"11"
"Madagascar","39012","","722",NA,"36022","","2268","318","1379","26","191570","6771","28294285","Africa","725","39189","148",NA,NA,"80"
"Zimbabwe","38419","","1576",NA,"36063","","780","12","2553","105","432780","28762","15047030","Africa","392","9548","35",NA,NA,"52"
"Maldives","35815","","84",NA,"26299","","9432","90","65280","153","761492","1387973","548636","Asia","15","6531","1",NA,NA,"17192"
"Malawi","34171","","1153",NA,"32159","","859","11","1748","59","236020","12073","19548837","Africa","572","16955","83",NA,NA,"44"
"Sudan","33648","","2365",NA,"27247","","4036","","752","53","232965","5210","44717636","Africa","1329","18908","192",NA,NA,"90"
"Malta","30447","","417",NA,"29805","","225","","68799","942","883785","1997042","442547","Europe","15","1061","1",NA,NA,"508"
"DRC","30323","","772",NA,"26434","","3117","","330","8","152404","1659","91864730","Africa","3030","118996","603",NA,NA,"34"
"Australia","29931","15","910",NA,"28758","","263","1","1162","35","17221109","668732","25751901","Australia/Oceania","860","28299","1","0.6",NA,"10"
"Angola","28740","","633",NA,"24717","","3390","35","852","19","515256","15275","33730885","Africa","1174","53287","65",NA,NA,"101"
"Cabo Verde","26441","","232",NA,"23037","","3172","23","47121","413","155650","277386","561132","Africa","21","2419","4",NA,NA,"5653"
"Rwanda","25652","","338",NA,"24153","","1161","","1940","26","1344650","101680","13224396","Africa","516","39125","10",NA,NA,"88"
"Gabon","23432","","143",NA,"19944","","3345","19","10321","63","749276","330038","2270275","Africa","97","15876","3",NA,NA,"1473"
