"","Id","contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"88","88","Sri Lanka","121338","1914","745","","101763","878","18830","","5646","35","2849991","132624","21489175","Asia","177","28845","8","89",NA,"876"
"89","89","Norway","115629","218","767","","88952","","25910","28","21189","141","5316358","974219","5457048","Europe","47","7115","1","40",NA,"4748"
"90","90","Cuba","113876","1162","713","12","107476","1067","5687","115","10059","63","3787896","334597","11320761","North America","99","15878","3","103","1","502"
"91","91","Montenegro","98042","","1526","","94495","","2021","64","156085","2429","382259","608564","628133","Europe","6","412","2",NA,NA,"3217"
"92","92","Kyrgyzstan","97663","385","1643","3","90959","348","5061","70","14764","248","1017506","153822","6614840","Asia","68","4026","7","58","0.5","765"
"93","93","Uzbekistan","93597","421","660","3","89338","363","3599","23","2763","19","1377915","40673","33877979","Asia","362","51330","25","12","0.09","106"
"94","94","Ghana","92856","28","783","","90480","18","1593","6","2937","25","1108763","35067","31618263","Africa","341","40381","29","0.9",NA,"50"
"95","95","Zambia","91946","","1256","","90264","","426","37","4887","67","1426687","75824","18815647","Africa","205","14981","13",NA,NA,"23"
"96","96","Finland","88332","254","922","3","46000","","41410","28","15921","166","4615178","831863","5548005","Europe","63","6017","1","46","0.5","7464"
"97","97","Thailand","78855","2044","363","27","49172","2377","29320","1170","1127","5","8124896","116156","69948170","Asia","887","192695","9","29","0.4","419"
"98","98","Cameroon","74946","","1152","","70497","","3297","385","2765","43","1257949","46418","27100574","Africa","362","23525","22",NA,NA,"122"
"99","99","El Salvador","70255","126","2146","3","65778","122","2331","31","10785","329","934357","143441","6513874","North America","93","3035","7","19","0.5","358"
"100","100","Mozambique","70108","","819","","67696","","1593","38","2192","26","524063","16382","31989654","Africa","456","39059","61",NA,NA,"50"
"101","101","Cyprus","68442","","328","","39061","","29053","63","56341","270","5124872","4218752","1214784","Asia","18","3704","0",NA,NA,"23916"
"102","102","Luxembourg","68020","","801","","64727","","2492","33","107193","1262","2702729","4259251","634555","Europe","9","792","0",NA,NA,"3927"
"103","103","Afghanistan","61755","300","2683","10","54019","58","5053","1124","1557","68","417283","10520","39664980","Asia","642","14784","95","8","0.3","127"
"104","104","Singapore","61311","25","31","","60906","33","374","2","10411","5","9906797","1682196","5889206","Asia","96","189974","1","4",NA,"64"
"105","105","Namibia","49460","","674","","46922","","1864","41","19173","261","396009","153514","2579633","Africa","52","3827","7",NA,NA,"723"
"106","106","Botswana","48417","","734","","46226","","1457","1","20245","307","1086267","454209","2391558","Africa","49","3258","2",NA,NA,"609"
"107","107","Jamaica","46428","90","801","3","22018","125","23609","21","15621","270","340151","114448","2972096","North America","64","3710","9","30","1","7944"
