"World-country-continental","contry","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"Mozambique","70166","","821","","67749","","1596","33","2193","26","526810","16466","31994458","Africa","456","38970","61",NA,NA,"50"
"Cyprus","69163","","334","","39061","","29768","59","56932","275","5252543","4323679","1214832","Asia","18","3637","0",NA,NA,"24504"
"Luxembourg","68153","","801","","64943","","2409","33","107393","1262","2711542","4272762","634611","Europe","9","792","0",NA,NA,"3796"
"Afghanistan","62063","221","2698","12","54222","182","5143","1124","1564","68","420135","10591","39669783","Asia","639","14703","94","6","0.3","130"
"Singapore","61359","28","31","","60933","21","395","2","10418","5","9906797","1682124","5889457","Asia","96","189982","1","5",NA,"67"
"Namibia","49893","","683","","47173","","2037","45","19339","265","399564","154877","2579884","Africa","52","3777","6",NA,NA,"790"
"Botswana","48417","","734","","46226","","1457","1","20243","307","1086267","454160","2391818","Africa","49","3259","2",NA,NA,"609"
"Jamaica","46708","120","806","3","22268","120","23634","17","15715","271","343508","115575","2972167","North America","64","3688","9","40","1","7952"
"Ivory Coast","46385","","291","","45811","","283","","1722","11","608960","22613","26930224","Africa","581","92544","44",NA,NA,"11"
"Mongolia","44820","804","162","2","31373","1389","13285","123","13488","49","2780161","836631","3323043","Asia","74","20513","1","242","0.6","3998"
"Uganda","42355","47","346","","41924","","85","24","902","7","1039271","22132","46958474","Africa","1109","135718","45","1",NA,"2"
"Senegal","40692","27","1119","2","39384","49","189","14","2377","65","490682","28667","17116547","Africa","421","15296","35","2","0.1","11"
"Madagascar","39012","138","722","6","36022","290","2268","318","1379","26","191570","6771","28292334","Africa","725","39186","148","5","0.2","80"
"Zimbabwe","38414","","1576","","36052","","786","12","2553","105","431480","28677","15046439","Africa","392","9547","35",NA,NA,"52"
"Maldives","34724","","83","","25992","","8649","90","63295","151","756985","1379824","548610","Asia","16","6610","1",NA,NA,"15765"
"Malawi","34166","","1153","","32156","","857","11","1748","59","235685","12057","19547482","Africa","572","16954","83",NA,NA,"44"
"Sudan","33648","","2365","","27247","","4036","","753","53","232965","5210","44714831","Africa","1329","18907","192",NA,NA,"90"
"Malta","30447","9","417","","29805","31","225","","68800","942","883785","1997056","442544","Europe","15","1061","1","20",NA,"508"
"DRC","30323","38","772","","26434","","3117","","330","8","152404","1659","91857257","Africa","3029","118986","603","0.4",NA,"34"
"Australia","29916","10","910","","28758","","248","1","1162","35","17180714","667184","25751093","Australia/Oceania","861","28298","1","0.4",NA,"10"
"Angola","28477","","630","","24713","","3134","35","844","19","513297","15219","33728078","Africa","1184","53537","66",NA,NA,"93"
"Cabo Verde","26111","","232","","22718","","3161","23","46534","413","155650","277394","561116","Africa","21","2419","4",NA,NA,"5633"
"Rwanda","25586","","338","","24119","","1129","","1935","26","1341169","101423","13223516","Africa","517","39123","10",NA,NA,"85"
"Gabon","23432","","143","","19944","","3345","19","10322","63","749276","330058","2270131","Africa","97","15875","3",NA,NA,"1473"
"Syria","23319","","1648","","18457","","3214","","1306","92","103566","5799","17859955","Asia","766","10837","172",NA,NA,"180"
"Guinea","22602","","150","","20186","","2266","24","1683","11","442592","32947","13433530","Africa","594","89557","30",NA,NA,"169"
"Réunion","21601","","150","","19848","","1603","36","23981","167","102720","114039","900745","Africa","42","6005","9",NA,NA,"1780"
"French Guiana","20366","","104","","9995","","10267","18","66725","341","225358","738344","305221","South America","15","2935","1",NA,NA,"33638"
