"","Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"21","South Africa","Africa",1588221,2677.89,9771,16.47,2073,54557,91.99,272,0.46,46,"Community transmission"
"22","Netherlands","Europe",1531800,8799.61,50708,291.3,7336,17245,99.07,141,0.81,24,"Community transmission"
"23","Canada","Americas",1257328,3331.36,54591,144.64,7378,24450,64.78,333,0.88,54,"Community transmission"
"24","Chile","Americas",1229248,6430.4,38257,200.13,6299,26895,140.69,648,3.39,169,"Community transmission"
"25","Iraq","Eastern Mediterranean",1098187,2730.28,39393,97.94,6233,15673,38.97,240,0.6,33,"Community transmission"
"26","Philippines","Western Pacific",1080172,985.73,51460,46.96,6637,17991,16.42,846,0.77,191,"Community transmission"
"27","Romania","Europe",1060895,5488.66,9116,47.16,1564,28616,148.05,783,4.05,142,"Community transmission"
"28","Belgium","Europe",1003746,8711.23,15295,132.74,2,24406,211.81,224,1.94,5,"Community transmission"
"29","Sweden","Europe",995595,9640.15,35124,340.1,7038,14151,137.02,33,0.32,0,"Community transmission"
"30","Pakistan","Eastern Mediterranean",845833,382.92,30122,13.64,4197,18537,8.39,857,0.39,108,"Community transmission"
"31","Israel","Europe",838767,9690.52,395,4.56,28,6370,73.59,9,0.1,1,"Community transmission"
"32","Portugal","Europe",838102,8140.15,2539,24.66,387,16983,164.95,10,0.1,2,"Clusters of cases"
"33","Hungary","Europe",787647,8062.28,10664,109.16,1680,28297,289.65,939,9.61,124,"Community transmission"
"34","Bangladesh","South-East Asia",769160,467.04,12205,7.41,1822,11796,7.16,403,0.24,41,"Community transmission"
"35","Jordan","Eastern Mediterranean",717930,7036.37,8113,79.51,1007,9014,88.35,213,2.09,26,"Community transmission"
"36","Serbia","Europe",695875,10046.26,9938,143.47,1402,6478,93.52,166,2.4,22,"Community transmission"
"37","Switzerland","Europe",664332,7676.04,8454,97.68,3,10012,115.68,38,0.44,1,"Community transmission"
"38","Austria","Europe",622213,6990.32,11480,128.97,1682,10065,113.08,162,1.82,26,"Community transmission"
"39","Japan","Western Pacific",620994,491,34212,27.05,4871,10589,8.37,395,0.31,72,"Clusters of cases"
